"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Rpl39"	5.01320497610757e-68	-0.278043565686298	1	0.996	1.55675054123068e-63	2.35620633877056e-66
"Rps29"	1.88025613651031e-62	-0.235419738032355	1	0.999	5.83875938070547e-58	4.41860192079923e-61
"Trim12a"	1.21322423080806e-59	0.257544238748625	0.298	0.002	3.76742520392828e-55	1.9007179615993e-58
"Rpl35a"	6.66618449697448e-56	-0.239341317546031	1	1	2.07005027184548e-51	7.83276678394501e-55
"Rps28"	3.73592047177438e-55	-0.251887836675069	0.998	0.999	1.1601153841001e-50	3.30032672801206e-54
"Rpl23"	4.21318305703667e-55	-0.205951528893054	1	1	1.3083197347016e-50	3.30032672801206e-54
"Rps15a"	1.51905728441505e-48	-0.21704103781116	1	1	4.71712858529405e-44	1.01993846239296e-47
"Gm47283"	1.67358690960387e-46	-0.510032636830414	0.269	0.606	5.1969894303929e-42	9.83232309392274e-46
"Rpl34"	5.26281546723843e-44	-0.217868055638474	1	1	1.63426208704155e-39	2.74835918844674e-43
"Rpl37a"	1.76494397113549e-43	-0.230598815545479	1	1	5.48068051356705e-39	8.29523666433682e-43
"Fau"	3.28177184906328e-39	-0.202191000033395	1	1	1.01908861228962e-34	1.40221160823613e-38
"Rpl38"	1.17081606037711e-34	-0.21361657331053	1	0.999	3.63573511228904e-30	4.58569623647702e-34
"Echdc2"	4.94676816918669e-32	-0.219728781031638	0.003	0.217	1.53611991957754e-27	1.78844695347519e-31
"Rps26"	3.0839685164527e-30	-0.214492341236376	1	0.998	9.57664743414057e-26	1.03533228766626e-29
"Wdfy1"	1.47383985282943e-29	0.270532191216181	0.577	0.251	4.57671489499121e-25	4.61803153886553e-29
"Gm42418"	2.64454781530484e-28	0.618119726064737	1	0.998	8.21211433086612e-24	7.76835920745797e-28
"Erh"	2.4222356538773e-27	0.345242524545722	0.971	0.889	7.52176837598518e-23	6.6967691607196e-27
"Hsp90aa1"	1.30882042978231e-24	0.270093064032635	0.997	0.998	4.06428008060302e-20	3.41747556665382e-24
"Rps27"	7.18495667002531e-24	-0.205460617233675	0.998	0.999	2.23114459474296e-19	1.77733138679573e-23
"Atp5e"	8.36767585939459e-23	-0.245471742578403	0.997	0.998	2.5984143846178e-18	1.96640382695773e-22
"Rpl36al"	1.38500576820947e-22	-0.315391734906881	0.949	0.961	4.30085841202087e-18	3.09977481456406e-22
"Sem1"	4.95284520175205e-21	-0.26210755904347	0.995	0.999	1.53800702050006e-16	1.05810783855612e-20
"Calr"	2.20921216699977e-19	0.276802237838212	0.99	0.995	6.86026654218439e-15	4.51447703691258e-19
"Tspan32"	1.9533700973636e-16	0.268008852122812	0.889	0.693	6.06580016334317e-12	3.82534977400371e-16
"Ost4"	7.63513485404634e-15	-0.262823376327574	0.942	0.959	2.37093842622701e-10	1.39611639232549e-14
"Tspo"	7.72319706392823e-15	0.201475738759505	0.995	0.995	2.39828438426163e-10	1.39611639232549e-14
"Pdia6"	8.47956848307354e-15	0.221850267731059	0.99	0.979	2.63316040104883e-10	1.47607303223873e-14
"2010107E04Rik"	2.91490842776298e-14	-0.231266846303276	0.973	0.974	9.05166514073239e-10	4.89288200374501e-14
"Psmb8"	6.46136119572995e-14	0.23102508078396	0.997	0.986	2.00644649211002e-09	1.0471861248252e-13
"Manf"	9.3530344693819e-14	0.232156883102226	0.991	0.984	2.90439779377716e-09	1.4653087335365e-13
"Hspa5"	9.96810620665554e-14	0.253808655659407	0.997	0.988	3.09539602035275e-09	1.51129352165423e-13
"Ciapin1"	1.20827084886387e-13	0.240937286988144	0.877	0.743	3.75204346697696e-09	1.7746478092688e-13
"Cox7a2"	1.07702002963257e-11	-0.211176139750368	0.983	0.991	3.34447029801801e-07	1.53393761796154e-11
"S100a11"	1.94935616047933e-11	-0.243768663488177	0.985	0.988	6.05333568513645e-07	2.69469822183907e-11
"Hspd1"	2.14667719049949e-11	0.228782178691666	0.991	0.976	6.66607667965808e-07	2.88268079867075e-11
"Lcn2"	2.94868717275614e-11	0.359002876938095	0.563	0.385	9.15655827755964e-07	3.84967491998718e-11
"Dnajc3"	3.13865520914961e-11	0.217367800699089	0.959	0.913	9.74646602097229e-07	3.98694040081167e-11
"Eno1"	9.42141185166713e-11	0.22241657202359	0.95	0.92	2.92563102229819e-06	1.16527988691672e-10
"Cacybp"	1.2575959573821e-10	0.206562751253192	0.983	0.969	3.90521272645864e-06	1.51556435889638e-10
"Sdf2l1"	8.50109918355376e-10	0.216948518194515	0.978	0.963	2.63984632946895e-05	9.98879154067566e-10
"Lgals1"	7.02094930896153e-08	-0.301247381489244	0.844	0.867	0.00218021538891183	8.04840530539493e-08
"S100a8"	2.3826327206998e-07	-0.417252298624155	0.632	0.74	0.00739878938758909	2.66627947316406e-07
"S100a9"	6.10363382237326e-06	-0.262228167556945	0.31	0.411	0.189536141086157	6.67141371282659e-06
"H2-Q7"	0.000133366890078051	0.202881864062904	0.724	0.639	1	0.000142460087128828
"Cd34"	0.000848273915215315	0.216475011848458	0.675	0.596	1	0.000885974978113774
